8.128557633487701883e-01,1.024962141258088479e+02
1.970204646752469646e+00,5.129451422314691627e+02
2.343115419640819042e+00,7.637728892045840894e+02
3.957379868054851535e+00,2.813259408084720690e+03
4.244497710109158994e+00,3.379447306215544359e+03
5.612414334827432683e+00,7.134615794328698030e+03
6.787385786504302132e+00,1.201042024736027270e+04
7.521475089756274990e+00,1.596881890852377910e+04
8.978345562788337730e+00,2.622379754958055491e+04
9.019994456693302354e+00,2.656776368198591808e+04
1.082081623695418493e+01,4.449731864062580280e+04
1.154054422696373905e+01,5.346675747592156404e+04
1.234739889410260538e+01,6.487044817612932820e+04
1.340772734765313778e+01,8.217697667622269364e+04
1.405737384053893813e+01,9.416538006537377078e+04
1.591098128447870330e+01,1.346567535659829155e+05
1.616630222224709357e+01,1.410075902781443147e+05
1.781119062225641159e+01,1.867680039785816334e+05
1.842613407676588366e+01,2.061332234129424032e+05
1.935185759582911302e+01,2.377409325894166250e+05
